City,Lat,Lng,Max Temp,Humidity,Clouds,Wind,Country,Date
riyadh,24.6877,46.7219,91.4,11,20,9.22,SA,1619419127
arraial do cabo,-22.9661,-42.0278,72.64,90,7,6.29,BR,1619419381
faya,18.3851,42.4509,73.4,42,40,0.94,SA,1619419381
taoudenni,22.6783,-3.9836,85.23,16,0,8.81,ML,1619419381
east london,-33.0153,27.9116,68.0,64,0,2.3,ZA,1619419382
novopskov,49.5464,39.0899,54.21,38,88,6.85,UA,1619419382
anadyr,64.75,177.4833,26.6,100,75,6.71,RU,1619419383
alofi,-19.0595,-169.9187,77.0,94,20,1.14,NU,1619419105
pevek,69.7008,170.3133,26.06,83,100,5.95,RU,1619419383
busselton,-33.65,115.3333,75.99,53,100,3.0,AU,1619419383
mataura,-46.1927,168.8643,46.0,69,66,11.01,NZ,1619419384
penzance,50.1186,-5.5371,43.0,87,20,19.57,GB,1619419384
okhotsk,59.3833,143.3,28.45,60,11,4.05,RU,1619419385
hilo,19.7297,-155.09,71.6,83,90,5.75,US,1619419284
puerto ayora,-0.7393,-90.3518,74.07,90,5,5.37,EC,1619419385
iqaluit,63.7506,-68.5145,32.0,93,90,3.38,CA,1619419385
ngunguru,-35.6167,174.5,59.0,84,100,5.99,NZ,1619419215
florianopolis,-27.6146,-48.5012,72.0,83,40,5.75,BR,1619419386
hithadhoo,-0.6,73.0833,82.89,66,9,3.85,MV,1619419387
husavik,66.0449,-17.3389,35.6,80,90,8.05,IS,1619419387
qaanaaq,77.484,-69.3632,28.36,63,22,9.82,GL,1619419387
victoria,22.2855,114.1577,77.0,76,100,1.99,HK,1619419335
adrar,20.5022,-10.0711,75.47,23,73,8.59,MR,1619419388
ushuaia,-54.8,-68.3,42.8,93,90,8.05,AR,1619419110
butaritari,3.0707,172.7902,82.53,76,10,12.93,KI,1619419388
thompson,55.7435,-97.8558,26.6,100,90,2.3,CA,1619419389
derzhavinsk,51.1,66.3167,51.69,73,100,5.73,KZ,1619419389
onokhino,56.925,65.5394,50.0,43,40,15.66,RU,1619419389
sao felix do xingu,-6.6447,-51.995,71.73,98,96,1.25,BR,1619419390
avarua,-21.2078,-159.775,77.0,83,34,2.3,CK,1619419102
atuona,-9.8,-139.0333,80.08,70,100,17.67,PF,1619419390
bac lieu,9.285,105.7244,89.98,59,19,13.04,VN,1619419391
venado tuerto,-33.7456,-61.9688,48.0,99,0,1.01,AR,1619419391
crestview,30.7621,-86.5705,60.01,94,1,5.01,US,1619419387
san francisco,37.7749,-122.4194,51.8,76,20,10.36,US,1619419251
troitsko-pechorsk,62.7084,56.1964,40.64,74,99,6.67,RU,1619419392
kapaa,22.0752,-159.319,73.4,78,75,17.27,US,1619419393
galeana,24.8333,-100.0667,62.01,43,100,1.01,MX,1619419393
torbay,47.6666,-52.7314,42.8,56,40,18.41,CA,1619419393
bonavista,48.6499,-53.1147,42.01,75,100,3.44,CA,1619419394
geraldton,-28.7667,114.6,86.0,26,100,12.66,AU,1619419394
oistins,13.0667,-59.5333,77.0,65,20,14.97,BB,1619419394
juxtlahuaca,17.4294,-99.1467,69.67,86,100,2.44,MX,1619419395
novoagansk,61.9449,76.6625,45.82,73,15,14.03,RU,1619419395
vila velha,-20.3297,-40.2925,75.2,83,0,8.05,BR,1619419396
port pirie,-33.1833,138.0167,69.8,60,11,10.36,AU,1619419396
bluff,-46.6,168.3333,46.0,69,71,11.01,NZ,1619419396
punta arenas,-53.15,-70.9167,42.8,100,90,8.05,CL,1619419097
novosheshminsk,55.0651,51.2338,47.97,45,11,22.08,RU,1619419397
khani,41.9563,42.9566,55.4,82,90,4.61,GE,1619419397
karratha,-20.7377,116.8463,87.08,24,0,14.76,AU,1619419398
rikitea,-23.1203,-134.9692,77.43,77,9,7.52,PF,1619419398
longyearbyen,78.2186,15.6401,17.6,62,40,6.91,SJ,1619419136
thinadhoo,0.5333,72.9333,82.69,64,95,3.8,MV,1619419399
tasiilaq,65.6145,-37.6368,39.2,70,75,16.11,GL,1619419399
sao filipe,14.8961,-24.4956,70.79,73,7,7.0,CV,1619419399
maldonado,-34.6667,-54.9167,63.0,67,20,17.27,UY,1619419226
makakilo city,21.3469,-158.0858,75.2,64,1,5.75,US,1619419400
mar del plata,-38.0023,-57.5575,60.01,82,75,3.44,AR,1619419401
albany,42.6001,-73.9662,41.0,56,87,1.01,US,1619419251
ribeira grande,38.5167,-28.7,57.2,77,20,8.05,PT,1619419401
cabo san lucas,22.8909,-109.9124,66.99,38,100,11.56,MX,1619419144
ranot,7.7777,100.3213,88.75,61,93,2.84,TH,1619419402
namibe,-15.1961,12.1522,77.85,60,44,5.21,AO,1619419402
khatanga,71.9667,102.5,17.82,85,98,16.51,RU,1619419402
yumen,40.2833,97.2,57.79,11,0,24.58,CN,1619419403
kodiak,57.79,-152.4072,42.8,75,1,9.22,US,1619419403
airai,-8.9266,125.4092,71.15,48,4,3.0,TL,1619419404
kaitangata,-46.2817,169.8464,46.0,59,60,14.0,NZ,1619419404
bokoro,12.3807,17.0568,91.47,35,68,8.84,TD,1619419405
bethel,41.3712,-73.414,48.2,43,1,14.97,US,1619419405
saint george,37.1041,-113.5841,70.0,13,1,12.66,US,1619419405
san patricio,28.017,-97.5169,71.01,94,75,10.36,US,1619419406
kailahun,8.2833,-10.5667,73.42,97,100,0.69,SL,1619419406
jamestown,42.097,-79.2353,30.99,86,90,9.22,US,1619419107
mecca,21.4267,39.8261,91.51,29,1,9.93,SA,1619419407
upernavik,72.7868,-56.1549,27.28,77,100,2.82,GL,1619419407
mayumba,-3.432,10.6554,79.56,84,99,2.89,GA,1619419407
apple valley,34.5008,-117.1859,48.0,74,100,21.0,US,1619419408
